Модель,MAE,RMSE,R²
XGBoost,70.56582675621779,100.69692327443872,0.8345959938025733
Нейронная сеть (MLP),76.86724971229243,106.39206945211757,0.8153573030727993
CatBoost,78.0760435796817,107.18324702743752,0.8126009258668331
Дерево решений,80.65466176059923,116.56194675073588,0.7783706839614897
Линейная регрессия,107.05539355419731,156.37444340965106,0.60111732313306
